,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
1631,Brookfield Renewable Partners L.P. ,BEP,11/29/2024,12/31/2024,0.355,1.42,26.42,13.436790310370931,buy,
762,Ethan Allen Interiors Inc. Common Stock,ETD,11/12/2024,11/27/2024,0.39,1.56,29.08,13.411279229711143,buy,
462,"Lake Shore Bancorp, Inc. Common Stock",LSBK,11/04/2024,11/08/2024,0.18,0.0,13.5,13.333333333333334,none,
446,"Healthpeak Properties, Inc. Common Stock",DOC,11/04/2024,11/15/2024,0.3,1.2,22.76,13.181019332161686,buy,
949,"Bassett Furniture Industries, Incorporated Common Stock",BSET,11/15/2024,11/29/2024,0.2,0.8,15.2,13.157894736842106,hold,
1256,Klabin S.A. ADR,KLBAY,11/15/2024,12/02/2024,0.099462,0.6128,7.6,13.087105263157895,strong_buy,
1357,Deluxe Corporation Common Stock,DLX,11/19/2024,12/02/2024,0.3,1.2,23.32,12.864493996569468,buy,
1340,DBS Group Holdings Ltd ADR,DBSDY,11/18/2024,12/05/2024,1.636487,6.5459,127.57,12.828149251391395,hold,
1023,"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,11/15/2024,11/29/2024,0.1086,1.3032,8.49,12.791519434628976,none,
1329,Carlyle Credit Income Fund Shares of Beneficial Interest,CCIF,11/18/2024,11/29/2024,0.105,1.26,8.23,12.75820170109356,strong_buy,
1671,"Crescent Capital BDC, Inc. 5.00% Notes due 2026",FCRX,11/29/2024,12/30/2024,0.3125,1.25,24.5101,12.749845981860538,none,
558,Ferrovial SE Ordinary Shares,FER,11/07/2024,12/13/2024,0.49133,0.659763,38.71,12.69258589511754,none,
355,The AES Corporation Common Stock,AES,11/01/2024,11/15/2024,0.1725,0.69,13.6,12.683823529411764,buy,
1198,Chemours Company (The) Common Stock,CC,11/15/2024,12/16/2024,0.25,1.0,19.79,12.632642748863063,hold,
1489,Amcor plc Ordinary Shares,AMCR,11/21/2024,12/11/2024,0.1275,0.51,10.22,12.475538160469666,hold,
1160,Acco Brands Corporation Common Stock,ACCO,11/15/2024,12/11/2024,0.075,0.3,6.02,12.458471760797343,strong_buy,
1341,DBS Group Holdings Ltd ADR,DBSDY,11/18/2024,12/05/2024,1.586487,6.5459,127.57,12.436207572313242,hold,
1555,Ford Otomotiv Sanayi A.S. ADR,FOVSY,11/25/2024,12/11/2024,1.815677,3.6314,146.02,12.434440487604435,none,
1176,"ARMOUR Residential REIT, Inc.",ARR,11/15/2024,11/27/2024,0.24,2.88,19.31,12.428793371310203,hold,
33,"BCB Bancorp, Inc. (NJ) Common Stock",BCBP,11/01/2024,11/15/2024,0.16,0.64,12.89,12.412723041117145,buy,
569,Heritage Commerce Corp Common Stock,HTBK,11/07/2024,11/21/2024,0.13,0.52,10.48,12.404580152671755,buy,
1592,Peoples Financial Services Corp. Common Stock,PFIS,11/29/2024,12/13/2024,0.6175,2.47,49.99,12.352470494098819,hold,
1290,Patria Investments Limited Class A Common Shares,PAX,11/18/2024,12/09/2024,0.15,0.6,12.16,12.335526315789474,buy,
1314,"United Parcel Service, Inc. Common Stock",UPS,11/18/2024,12/05/2024,1.63,6.52,132.44,12.307459981878587,buy,
1527,"Tortoise Pipeline & Energy Fund, Inc. Common Stock",TTP,11/22/2024,11/29/2024,0.59,2.36,48.072,12.273256781494425,none,
1205,XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,XFLT,11/15/2024,12/02/2024,0.085,1.02,6.93,12.265512265512266,buy,
69,"Capitol Federal Financial, Inc. Common Stock",CFFN,11/01/2024,11/15/2024,0.085,0.34,6.93,12.265512265512266,hold,
1537,Merchants Financial Group Inc,MFGI,11/22/2024,12/20/2024,0.36,0.72,29.44,12.228260869565217,none,
1180,"Summit Hotel Properties, Inc. Common Stock",INN,11/15/2024,11/29/2024,0.08,0.32,6.55,12.213740458015268,hold,
944,F & M Bank Corp.,FMBM,11/14/2024,11/29/2024,0.26,1.04,21.3,12.206572769953052,none,
1375,Danieli & C - Officine Meccaniche Spa ADR (Representing 1 Pref. Shares),DNIYY,11/19/2024,12/05/2024,0.354841,0.3548,29.13,12.181290765533815,none,
1521,"Piedmont Office Realty Trust, Inc. Class A Common Stock",PDM,11/22/2024,1/02/2025,0.125,0.5,10.29,12.147716229348884,buy,
817,Eagle Point Income Company Inc. Common Stock,EIC,11/12/2024,11/29/2024,0.2,2.4,16.49,12.128562765312312,buy,
1599,The Kraft Heinz Company Common Stock,KHC,11/29/2024,12/27/2024,0.4,1.6,33.0,12.121212121212121,buy,
1650,Ellington Credit Company Common Shares of Beneficial Interest,EARN,11/29/2024,12/26/2024,0.08,0.96,6.62,12.084592145015106,hold,
466,NVE Corporation Common Stock,NVEC,11/04/2024,11/29/2024,1.0,4.0,82.95,12.055455093429776,none,
998,Oxford Square Capital Corp. Common Stock,OXSQ,11/15/2024,11/29/2024,0.035,0.42,2.91,12.027491408934708,hold,
1278,Pioneer Bankcorp Inc,PBKC,11/15/2024,12/02/2024,0.55,1.4,45.75,12.021857923497267,none,
1459,HF Sinclair Corporation Common Stock,DINO,11/21/2024,12/04/2024,0.5,2.0,41.81,11.95886151638364,buy,
1500,"Cogent Communications Holdings, Inc.",CCOI,11/22/2024,12/06/2024,0.995,3.94,83.75,11.880597014925373,buy,
1508,"Dynex Capital, Inc. Common Stock",DX,11/22/2024,12/02/2024,0.15,1.8,12.63,11.87648456057007,buy,
470,Pacific Premier Bancorp Inc,PPBI,11/04/2024,11/12/2024,0.33,1.32,27.94,11.811023622047244,hold,
1641,Brookfield Infrastructure Partners LP Limited Partnership Units,BIP,11/29/2024,12/31/2024,0.405,1.62,34.29,11.811023622047244,buy,
225,"Kodiak Gas Services, Inc. Common Stock",KGS,11/01/2024,11/08/2024,0.41,1.64,34.83,11.771461383864485,buy,
648,Dana Incorporated Common Stock ,DAN,11/08/2024,11/29/2024,0.1,0.4,8.5,11.764705882352942,hold,
1024,"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,11/15/2024,11/29/2024,0.1037,1.2444,8.83,11.7440543601359,none,
802,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,EDF,11/12/2024,11/27/2024,0.06,0.72,5.15,11.650485436893202,none,
1188,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,NXG,11/15/2024,11/29/2024,0.54,6.48,46.42,11.632916846186989,none,
553,Atlas Energy Solutions Inc. Common Stock,AESI,11/07/2024,11/14/2024,0.24,0.96,20.64,11.627906976744185,buy,
1438,PHX Minerals Inc. Common Stock,PHX,11/21/2024,12/05/2024,0.04,0.16,3.44,11.627906976744185,buy,
83,"Donegal Group, Inc. Class B Common Stock",DGICB,11/01/2024,11/15/2024,0.155,0.62,13.3435,11.616142691197961,none,
473,Peoples Bancorp Inc. Common Stock,PEBO,11/04/2024,11/18/2024,0.4,1.6,34.55,11.57742402315485,hold,
1610,"Dominion Energy, Inc. Common Stock",D,11/29/2024,12/20/2024,0.6675,2.67,57.79,11.550441252811906,hold,
710,Truist Financial Corporation Common Stock,TFC,11/08/2024,12/02/2024,0.52,2.08,45.22,11.499336576735958,buy,
1201,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock",OPP,11/15/2024,11/29/2024,0.1003,1.2036,8.76,11.449771689497718,none,
981,Horizon Technology Finance Corporation Common Stock,HRZN,11/15/2024,12/13/2024,0.11,1.32,9.61,11.446409989594173,hold,
941,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,BKDT,11/14/2024,11/15/2024,0.875,3.2664,76.48,11.440899581589958,none,
925,Invesco Ltd Common Stock,IVZ,11/14/2024,12/03/2024,0.205,0.82,17.98,11.401557285873192,hold,
1167,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,GOF,11/15/2024,11/29/2024,0.1821,2.1852,15.99,11.388367729831145,none,
836,Macquarie Group Ltd ADR,MQBKY,11/12/2024,12/27/2024,1.71132,3.4226,150.46,11.373919978731887,hold,
1150,PennantPark Investment Corporation Common Stock,PNNT,11/15/2024,12/02/2024,0.08,0.96,7.04,11.363636363636363,hold,
699,Saba Capital Income & Opportunities Fund SBI,BRW,11/08/2024,11/29/2024,0.085,1.02,7.48,11.363636363636363,strong_buy,
1069,"Provident Financial Services, Inc Common Stock",PFS,11/15/2024,11/29/2024,0.24,0.96,21.18,11.331444759206798,buy,
1365,Sitio Royalties Corp. Class A Common Stock,STR,11/19/2024,11/27/2024,0.28,1.12,24.79,11.294876966518759,buy,
987,Medallion Financial Corp. Common Stock,MFIN,11/15/2024,11/27/2024,0.11,0.4,9.74,11.293634496919918,hold,
909,"Viper Energy, Inc. Class A Common Stock",VNOM,11/14/2024,11/21/2024,0.61,2.56,54.45,11.202938475665748,buy,
692,Premier Financial Corp. Common Stock,PFC,11/08/2024,11/15/2024,0.31,1.24,27.71,11.187297004691446,hold,
1027,Neuberger Berman High Yield Strategies Fund,NHS,11/15/2024,11/29/2024,0.0905,1.086,8.11,11.159062885326758,none,
1224,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,BIGZ,11/15/2024,11/29/2024,0.08633,1.036,7.75,11.139354838709677,none,
671,"HSBC Holdings, plc. Common Stock",HSBC,11/08/2024,12/19/2024,0.5,2.0,44.96,11.120996441281138,buy,
806,PIMCO Dynamic Income Fund Common Stock,PDI,11/12/2024,12/02/2024,0.2205,2.646,19.83,11.119515885022693,hold,
1062,"UMH Properties, Inc. Common Stock",UMH,11/15/2024,12/16/2024,0.215,0.86,19.34,11.116856256463288,buy,
953,"Brookline Bancorp, Inc. Common Stock",BRKL,11/15/2024,11/29/2024,0.135,0.54,12.16,11.101973684210526,buy,
1216,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,BMEZ,11/15/2024,11/29/2024,0.1769,2.1228,15.96,11.083959899749374,none,
22,Ames National Corporation Common Stock,ATLO,11/01/2024,11/15/2024,0.2,0.8,18.08,11.061946902654869,none,
82,"Donegal Group, Inc. Class A Common Stock",DGICA,11/01/2024,11/15/2024,0.1725,0.69,15.7,10.987261146496817,hold,
1444,Western Asset High Income Fund II Inc. Common Stock,HIX,11/21/2024,12/02/2024,0.049,0.588,4.46,10.986547085201794,none,
1056,"Magna International, Inc. Common Stock",MGA,11/15/2024,11/29/2024,0.475,1.9,43.4,10.944700460829493,hold,
1123,Invesco Senior Income Trust Common Stock (DE),VVR,11/15/2024,11/29/2024,0.043,0.516,3.95,10.886075949367088,hold,
1391,"Hasbro, Inc. Common Stock",HAS,11/20/2024,12/04/2024,0.7,2.8,64.38,10.872941907424666,buy,
1051,"Allete, Inc.",ALE,11/15/2024,12/01/2024,0.705,2.82,65.17,10.817860978978057,hold,
1234,GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,11/15/2024,1/09/2025,0.389052,1.5562,36.29,10.720639294571509,buy,
1304,Black Hills Corporation Common Stock,BKH,11/18/2024,12/01/2024,0.65,2.6,60.78,10.694307337940112,hold,
1417,"Evergy, Inc. Common Stock",EVRG,11/21/2024,12/20/2024,0.6675,2.57,62.51,10.678291473364261,buy,
1353,"Prudential Financial, Inc. Common Stock",PRU,11/19/2024,12/12/2024,1.3,5.2,121.89,10.665354007711871,hold,
1479,Western Asset Mortgage Opportunity Fund Inc. Common Stock,DMO,11/21/2024,12/02/2024,0.13,1.56,12.28,10.586319218241043,none,
709,Tronox Holdings plc Ordinary Shares (UK),TROX,11/08/2024,12/13/2024,0.125,0.5,11.82,10.575296108291031,buy,
1533,Highland Global Allocation Fund Common Stock,HGLB,11/22/2024,11/29/2024,0.081,0.972,7.685,10.540013012361744,none,
1242,"Sound Point Meridian Capital, Inc. Common Stock",SPMC,11/15/2024,11/29/2024,0.22,2.64,21.0,10.476190476190476,strong_buy,
1623,Perrigo Company plc Ordinary Shares,PRGO,11/29/2024,12/17/2024,0.276,1.104,26.36,10.47040971168437,buy,
1643,Ellington Financial Inc. Common Stock ,EFC,11/29/2024,12/26/2024,0.13,1.56,12.42,10.466988727858293,buy,
547,West Bancorporation Common Stock,WTBA,11/06/2024,11/20/2024,0.25,1.0,23.93,10.447137484329295,hold,
419,AmeriServ Financial Inc. Common Stock,ASRV,11/04/2024,11/18/2024,0.03,0.12,2.88,10.416666666666668,none,
1405,CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,IGR,11/20/2024,11/29/2024,0.06,0.72,5.77,10.398613518197575,none,
1311,Chevron Corporation Common Stock,CVX,11/18/2024,12/10/2024,1.63,6.52,156.93,10.386796660931624,buy,
1282,C&C Group ADR,CCGPY,11/15/2024,12/27/2024,0.064846,0.1297,6.25,10.37536,none,
399,Voya Emerging Markets High Income Dividend Equity Fund Common Shares,IHD,11/01/2024,11/15/2024,0.055,0.66,5.31,10.357815442561206,none,
571,"Hope Bancorp, Inc. Common Stock",HOPE,11/07/2024,11/21/2024,0.14,0.56,13.53,10.347376201034738,hold,
1225,Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest,NPCT,11/15/2024,12/02/2024,0.119,1.428,11.51,10.338835794960904,none,
524,SiriusXM Holdings Inc. Common Stock,SIRI,11/05/2024,11/21/2024,0.27,1.08,26.13,10.332950631458095,hold,
398,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest,IAE,11/01/2024,11/15/2024,0.065,0.78,6.3,10.317460317460318,none,
1447,Western Asset Global High Income Fund Inc Common Stock,EHI,11/21/2024,12/02/2024,0.07,0.84,6.81,10.279001468428781,none,
702,Sonoco Products Company Common Stock,SON,11/08/2024,12/10/2024,0.52,2.08,50.66,10.264508487958942,buy,
1192,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,SHEL,11/15/2024,12/19/2024,0.688,2.752,67.06,10.259469132120488,buy,
1698,United Bancshares Inc.,UBOH,11/29/2024,12/16/2024,0.22,0.88,21.45,10.256410256410257,none,
560,FirstEnergy Corp. Common Stock,FE,11/07/2024,12/01/2024,0.425,1.7,41.54,10.231102551757342,buy,
467,NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV,11/04/2024,11/29/2024,0.45,5.4,44.0,10.227272727272727,none,
1199,"RiverNorth Opportunities Fund, Inc. Common Stock",RIV,11/15/2024,11/29/2024,0.1289,1.5468,12.61,10.22204599524187,none,
991,"Nexstar Media Group, Inc. Common Stock",NXST,11/15/2024,11/29/2024,1.69,6.76,166.04,10.178270296314142,buy,
1214,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,BSTZ,11/15/2024,11/29/2024,0.21549,2.5859,21.24,10.1454802259887,none,
1602,CompX International Inc. Common Stock,CIX,11/29/2024,12/10/2024,0.3,1.2,29.59,10.13856032443393,none,
1477,Western Asset Global Corporate Opportunity Fund Inc. Common Stock,GDO,11/21/2024,12/02/2024,0.122,1.464,12.11,10.074318744838976,none,
572,JBG SMITH Properties Common Shares ,JBGS,11/07/2024,11/22/2024,0.175,0.7,17.4,10.057471264367816,hold,
936,Permian Resources Corporation Class A Common Stock,PR,11/14/2024,11/22/2024,0.15,0.6,14.92,10.053619302949063,buy,
1074,Advent Convertible and Income Fund,AVK,11/15/2024,11/29/2024,0.1172,1.4064,11.66,10.051457975986278,none,
441,Hanmi Financial Corporation Common Stock,HAFC,11/04/2024,11/20/2024,0.25,1.0,24.89,10.04419445560466,hold,
658,Exelon Corporation Common Stock,EXC,11/08/2024,12/13/2024,0.38,1.52,38.11,9.971136184728417,hold,
805,Virtus Global Multi-Sector Income Fund Common Shares of Beneficial Interest,VGI,11/12/2024,11/27/2024,0.08,0.96,8.04,9.950248756218906,none,
929,Gabelli Utility Trust (The) Common Stock,GUT,11/14/2024,11/21/2024,0.05,0.6,5.03,9.940357852882704,none,
1267,Osaic Financial Services Inc. 8% PRF PERPETUAL USD 25 - Ser A,LTSAP,11/15/2024,11/29/2024,0.1667,2.0004,16.8,9.922619047619046,none,
468,OceanFirst Financial Corp. Common Stock,OCFC,11/04/2024,11/15/2024,0.2,0.8,20.16,9.920634920634921,buy,
554,Bank of Marin Bancorp Common Stock,BMRC,11/07/2024,11/14/2024,0.25,1.0,25.27,9.893153937475267,buy,
1185,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,JRI,11/15/2024,12/02/2024,0.1335,1.602,13.53,9.866962305986696,none,
694,Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,11/08/2024,11/22/2024,0.105,1.26,10.71,9.80392156862745,none,
1491,Western Asset Diversified Income Fund Common Shares of Beneficial Interest,WDI,11/21/2024,12/02/2024,0.1485,1.782,15.19,9.776168531928901,none,
105,Franklin Financial Services Corporation Common Stock,FRAF,11/01/2024,11/27/2024,0.32,1.28,32.75,9.770992366412214,none,
764,"PCM Fund, Inc. Common Stock",PCM,11/12/2024,12/02/2024,0.08,0.96,8.19,9.768009768009769,none,
840,ArcelorMittal,AMSYF,11/12/2024,12/04/2024,0.25,0.5,25.6,9.765625,none,
474,Pinnacle West Capital Corporation Common Stock,PNW,11/04/2024,12/02/2024,0.895,3.58,91.81,9.748393421195948,buy,
1607,"NL Industries, Inc. Common Stock",NL,11/29/2024,12/17/2024,0.08,0.32,8.21,9.744214372716199,underperform,
1648,Stellus Capital Investment Corporation Common Stock,SCM,11/29/2024,12/13/2024,0.1333,1.5996,13.73,9.708667152221414,hold,
1706,Peoples Ltd,PPLL,11/29/2024,12/13/2024,0.63,2.52,65.0,9.692307692307692,none,
1484,Regional Management Corp. Common Stock,RM,11/21/2024,12/11/2024,0.3,1.2,31.01,9.674298613350532,hold,
784,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,NCV,11/12/2024,11/27/2024,0.034,0.408,3.52,9.659090909090908,none,
626,"American Electric Power Company, Inc. Common Stock",AEP,11/08/2024,12/10/2024,0.93,3.72,96.4,9.647302904564315,hold,
1550,Civeo Corporation (Canada) Common Shares,CVEO,11/25/2024,12/16/2024,0.25,1.0,26.02,9.607993850883936,strong_buy,
539,"Northfield Bancorp, Inc. Common Stock (Delaware)",NFBK,11/06/2024,11/20/2024,0.13,0.52,13.54,9.601181683899558,hold,
1429,Archer-Daniels-Midland Company Common Stock,ADM,11/21/2024,12/12/2024,0.5,2.0,52.13,9.591406100134279,hold,
816,Arcelor Mittal NY Registry Shares NEW,MT,11/12/2024,12/04/2024,0.25,0.5,26.09,9.582215408202376,buy,
1248,Sturgis Bancorp Inc,STBI,11/15/2024,12/13/2024,0.17,0.68,17.75,9.577464788732394,none,
1286,"First Hawaiian, Inc. Common Stock",FHB,11/18/2024,11/29/2024,0.26,1.04,27.15,9.576427255985267,hold,
932,"SunCoke Energy, Inc. Common Stock",SXC,11/14/2024,12/02/2024,0.12,0.48,12.54,9.569377990430622,buy,
874,"MSC Industrial Direct Company, Inc. Common Stock",MSM,11/13/2024,11/27/2024,0.85,3.4,88.98,9.55270847381434,hold,
860,Landmark Bancorp Inc. Common Stock,LARK,11/13/2024,11/27/2024,0.21,0.84,22.0,9.545454545454545,none,
789,PIMCO Income Strategy Fund Shares of Beneficial Interest,PFL,11/12/2024,12/02/2024,0.0814,0.9768,8.55,9.52046783625731,none,
1147,Nuveen Floating Rate Income Fund Common Stock,JFR,11/15/2024,12/02/2024,0.085,1.02,8.96,9.486607142857142,none,
792,PIMCO Income Strategy Fund II,PFN,11/12/2024,12/02/2024,0.0718,0.8616,7.58,9.472295514511872,none,
788,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,NCZ,11/12/2024,11/27/2024,0.03,0.36,3.17,9.46372239747634,none,
1666,Brookfield Infrastructure Corporation ,BIPC,11/29/2024,12/31/2024,0.405,1.62,42.8,9.462616822429908,none,
785,Pimco High Income Fund,PHK,11/12/2024,12/02/2024,0.048,0.576,5.09,9.430255402750491,none,
985,"Logility Supply Chain Solutions, Inc. Common Stock",LGTY,11/15/2024,11/29/2024,0.11,0.44,11.67,9.425878320479862,buy,
728,"Radius Recycling, Inc. Class A Common Stock",RDUS,11/12/2024,11/26/2024,0.1875,0.75,19.92,9.412650602409638,hold,
96,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,FCT,11/01/2024,11/15/2024,0.097,1.164,10.32,9.39922480620155,hold,
1040,The J.M. Smucker Company Common Stock,SJM,11/15/2024,12/02/2024,1.08,4.32,115.45,9.35469900389779,hold,
1536,"Summit Bancshares, Inc.",SMAL,11/22/2024,12/13/2024,0.42,0.44,45.0,9.333333333333334,none,
1300,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,FTF,11/18/2024,11/29/2024,0.0615,0.738,6.59,9.332321699544766,none,
1142,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,JQC,11/15/2024,12/02/2024,0.054,0.648,5.8,9.310344827586206,strong_buy,
1202,"SandRidge Energy, Inc. Common Stock",SD,11/15/2024,11/29/2024,0.11,0.44,11.84,9.29054054054054,buy,
821,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,PDO,11/12/2024,12/02/2024,0.1279,1.5348,13.78,9.28156748911466,none,
1504,Viatris Inc. Common Stock,VTRS,11/22/2024,12/13/2024,0.12,0.48,12.96,9.25925925925926,hold,
907,Silicon Motion Technology Corporation American Depositary Shares,SIMO,11/14/2024,11/27/2024,0.5,2.0,54.12,9.238728750923872,buy,
251,"ONEOK, Inc. Common Stock",OKE,11/01/2024,11/14/2024,0.99,3.96,107.16,9.238521836506159,buy,
1050,Duke Energy Corporation (Holding Company) Common Stock,DUK,11/15/2024,12/16/2024,1.045,4.18,113.23,9.229002914421972,buy,
1492,FS Credit Opportunities Corp. Common Stock,FSCO,11/21/2024,11/29/2024,0.06,0.72,6.51,9.216589861751153,none,
1483,BrandywineGLOBAL Global Income Opportunities Fund Inc.,BWG,11/21/2024,12/02/2024,0.08,0.96,8.71,9.184845005740527,none,
1594,"Premier, Inc. Class A Common Stock",PINC,11/29/2024,12/15/2024,0.21,0.84,22.88,9.178321678321678,hold,
1149,BlackRock Floating Rate Income Trust,BGT,11/15/2024,11/29/2024,0.12028,1.4434,13.13,9.16070068545316,none,
1620,"Nu Skin Enterprises, Inc. Common Stock",NUS,11/29/2024,12/11/2024,0.06,0.24,6.55,9.160305343511451,hold,
1709,Lvmh Moet Hennessy Louis Vuitton SE ADR - Level I,LVMUY,11/29/2024,12/19/2024,1.18096,2.3619,129.1,9.147637490317583,hold,
827,PIMCO Access Income Fund Common Shares of Beneficial Interest,PAXS,11/12/2024,12/02/2024,0.1494,1.7928,16.35,9.137614678899082,none,
1328,Phillips 66 Common Stock,PSX,11/18/2024,12/02/2024,1.15,4.6,126.45,9.094503756425464,buy,
1604,"Stanley Black & Decker, Inc. Common Stock",SWK,11/29/2024,12/17/2024,0.82,3.28,90.17,9.093933680825108,hold,
1512,Scotts Miracle-Gro Company (The) Common Stock,SMG,11/22/2024,12/06/2024,0.66,2.64,72.6,9.090909090909092,buy,
