,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
1066,"New America High Income Fund, Inc. (The) Common Stock",HYB,11/15/2024,11/29/2024,0.04,0.48
1067,American States Water Company Common Stock,AWR,11/15/2024,12/02/2024,0.4655,1.862
1068,North European Oil Royality Trust Common Stock,NRT,11/15/2024,11/27/2024,0.02,0.08
1069,"Provident Financial Services, Inc Common Stock",PFS,11/15/2024,11/29/2024,0.24,0.96
1070,"Liberty All-Star Growth Fund, Inc.",ASG,11/15/2024,1/02/2025,0.12,0.48
1071,MSA Safety Incorporated Common Stock,MSA,11/15/2024,12/10/2024,0.51,2.04
1072,Sabine Royalty Trust Common Stock,SBR,11/15/2024,11/29/2024,0.51435,6.1722
1073,"Nuveen Municipal Value Fund, Inc. Common Stock",NUV,11/15/2024,12/02/2024,0.031,0.372
1074,Advent Convertible and Income Fund,AVK,11/15/2024,11/29/2024,0.1172,1.4064
1075,Liberty All-Star Equity Fund Common Stock,USA,11/15/2024,1/02/2025,0.18,0.72
1076,"Nuveen Municipal Income Fund, Inc. Common Stock",NMI,11/15/2024,12/02/2024,0.038,0.456
1077,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",DSM,11/15/2024,12/02/2024,0.018,0.216
1078,"BNY Mellon Strategic Municipals, Inc. Common Stock",LEO,11/15/2024,12/02/2024,0.019,0.228
1079,"Pioneer Municipal High Income Fund, Inc.",MHI,11/15/2024,11/29/2024,0.035,0.42
1080,Blackrock Limited Duration Income Trust,BLW,11/15/2024,11/29/2024,0.1132,1.3584
1081,"Blackrock MuniYield Quality Fund III, Inc Common Stock",MYI,11/15/2024,12/02/2024,0.0555,0.666
1082,Nuveen New York Municipal Value Fund Common Stock,NNY,11/15/2024,12/02/2024,0.0295,0.354
1083,Invesco Trust for Investment Grade New York Municipals Common Stock,VTN,11/15/2024,11/29/2024,0.0685,0.822
1084,Nuveen Select Tax Free Income Portfolio Common Stock,NXP,11/15/2024,12/02/2024,0.052,0.624
1085,BlackRock New York Municipal Income Trust,BNY,11/15/2024,12/02/2024,0.051,0.612
1086,Invesco Bond Fund Common Stock,VBF,11/15/2024,11/29/2024,0.074,0.888
1087,Nuveen California Municipal Value Fund,NCA,11/15/2024,12/02/2024,0.029,0.348
1088,BlackRock Income Trust Inc. (The),BKT,11/15/2024,11/29/2024,0.0882,1.0584
1089,Invesco Municipal Income Opportunities Trust Common Stock,OIA,11/15/2024,11/29/2024,0.0291,0.3492
1090,"Blackrock MuniVest Fund, Inc. Common Stock",MVF,11/15/2024,12/02/2024,0.036,0.432
1091,Nuveen Multi-Market Income Fund (MA),JMM,11/15/2024,12/02/2024,0.0275,0.33
1092,Invesco High Income Trust II,VLT,11/15/2024,11/29/2024,0.0964,1.1568
1093,Nuveen Pennsylvania Quality Municipal Income Fund Common Stock,NQP,11/15/2024,12/02/2024,0.078,0.936
1094,Invesco Municipal Trust Common Stock,VKQ,11/15/2024,11/29/2024,0.0628,0.7536
1095,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF,11/15/2024,11/29/2024,0.0325,0.39
1096,"Blackrock MuniYield Fund, Inc.  Common Stock",MYD,11/15/2024,12/02/2024,0.0545,0.654
1097,Invesco Trust for Investment Grade Municipals Common Stock (DE),VGM,11/15/2024,11/29/2024,0.0646,0.7752
1098,"Blackrock MuniYield New York Quality Fund, Inc.Common Stock",MYN,11/15/2024,12/02/2024,0.0512,0.6144
1099,Invesco Municipal Opportunity Trust Common Stock,VMO,11/15/2024,11/29/2024,0.0625,0.75
1100,Nuveen California Select Tax-Free Income Portfolio Common Stock,NXC,11/15/2024,12/02/2024,0.0455,0.546
1101,Nuveen New York Select Tax-Free Income Portfolio Common Stock,NXN,11/15/2024,12/02/2024,0.042,0.504
1102,"Blackrock MuniYield Quality Fund, Inc. Common Stock",MQY,11/15/2024,12/02/2024,0.058,0.696
1103,"Blackrock MuniYield Quality Fund II, Inc. Common Stock",MQT,11/15/2024,12/02/2024,0.051,0.612
1104,Nuveen Select Maturities Municipal Fund Common Stock,NIM,11/15/2024,12/02/2024,0.0275,0.33
1105,Invesco Quality Municipal Income Trust Common Stock,IQI,11/15/2024,11/29/2024,0.0631,0.7572
1106,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,MPA,11/15/2024,12/02/2024,0.066,0.792
1107,Nuveen Arizona Quality Municipal Income Fund Common Stock,NAZ,11/15/2024,12/02/2024,0.0725,0.87
1108,BlackRock Investment Quality Municipal Trust Inc. (The),BKN,11/15/2024,12/02/2024,0.057,0.684
1109,Invesco Value Municipal Income Trust Common Stock,IIM,11/15/2024,11/29/2024,0.0771,0.9252
1110,Nuveen Massachusetts Quality Municipal Income Fund Common Stock,NMT,11/15/2024,12/02/2024,0.071,0.852
1111,Nuveen Virginia Quality Municipal Income Fund Common Stock,NPV,11/15/2024,12/02/2024,0.072,0.864
1112,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",MIY,11/15/2024,12/02/2024,0.0545,0.654
1113,"Blackrock MuniVest Fund II, Inc.  Common Stock",MVT,11/15/2024,12/02/2024,0.054,0.648
1114,Nuveen Missouri Quality Municipal Income Fund ,NOM,11/15/2024,12/02/2024,0.0675,0.81
1115,Invesco California Value Municipal Income Trust Common Stock,VCV,11/15/2024,11/29/2024,0.0646,0.7752
1116,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE),VPV,11/15/2024,11/29/2024,0.0667,0.8004
1117,"Blackrock MuniAssets Fund, Inc Common Stock",MUA,11/15/2024,12/02/2024,0.0555,0.666
1118,"Blackrock MuniHoldings Fund, Inc. Common Stock",MHD,11/15/2024,12/02/2024,0.0595,0.714
1119,"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock",MHN,11/15/2024,12/02/2024,0.0515,0.618
1120,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",MUC,11/15/2024,12/02/2024,0.0535,0.642
1121,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",MUJ,11/15/2024,12/02/2024,0.054,0.648
1122,"Blackrock Debt Strategies Fund, Inc. Common Stock",DSU,11/15/2024,11/29/2024,0.09873,1.1848
1123,Invesco Senior Income Trust Common Stock (DE),VVR,11/15/2024,11/29/2024,0.043,0.516
1124,"Blackrock MuniHoldings Quality Fund II, Inc. Common Stock",MUE,11/15/2024,12/02/2024,0.051,0.612
1125,Nuveen California Quality Municipal Income Fund,NAC,11/15/2024,12/02/2024,0.0735,0.882
1126,Nuveen New York Quality Municipal Income Fund Common Stock,NAN,11/15/2024,12/02/2024,0.072,0.864
1127,Nuveen Quality Municipal Income Fund Common Stock,NAD,11/15/2024,12/02/2024,0.0755,0.906
1128,Nuveen New Jersey Qualified Municipal Fund ,NXJ,11/15/2024,12/02/2024,0.0785,0.942
1129,BlackRock Municipal Income Trust,BFK,11/15/2024,12/02/2024,0.05,0.6
1130,BlackRock California Municipal Income Trust,BFZ,11/15/2024,12/02/2024,0.059,0.708
1131,Nuveen Municipal Credit Income Fund ,NZF,11/15/2024,12/02/2024,0.0795,0.954
1132,Nuveen AMT-Free Municipal Credit Income Fund ,NVG,11/15/2024,12/02/2024,0.079,0.948
1133,"Pioneer High Income Fund, Inc.",PHT,11/15/2024,11/29/2024,0.055,0.66
1134,BlackRock Virginia Municipal Bond Trust,BHV,11/15/2024,12/02/2024,0.0515,0.618
1135,BlackRock Municipal Income Trust II,BLE,11/15/2024,12/02/2024,0.054,0.648
1136,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,BYM,11/15/2024,12/02/2024,0.0555,0.666
1137,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,NEA,11/15/2024,12/02/2024,0.073,0.876
1138,Nuveen California AMT-Free Quality Municipal Income Fund,NKX,11/15/2024,12/02/2024,0.076,0.912
1139,Nuveen New York AMT-Free Quality Municipal Income Fund ,NRK,11/15/2024,12/02/2024,0.069,0.828
1140,Nuveen Preferred & Income Opportunities Fund,JPC,11/15/2024,12/02/2024,0.0665,0.798
1141,"Blackrock Corporate High Yield Fund, Inc. Common Stock",HYT,11/15/2024,11/29/2024,0.0779,0.9348
1142,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,JQC,11/15/2024,12/02/2024,0.054,0.648
1143,"BlackRock Municipal Income Fund, Inc. Common Stock",MUI,11/15/2024,12/02/2024,0.055,0.66
1144,"Pioneer Municipal High Income Advantage Fund, Inc.",MAV,11/15/2024,11/29/2024,0.0325,0.39
1145,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,FRA,11/15/2024,11/29/2024,0.12384,1.4861
1146,"Nuveen Municipal High Income Opportunity Fund Common Stock, $0.01 par value, per share",NMZ,11/15/2024,12/02/2024,0.0655,0.786
1147,Nuveen Floating Rate Income Fund Common Stock,JFR,11/15/2024,12/02/2024,0.085,1.02
1148,Arbor Realty Trust Common Stock,ABR,11/15/2024,11/27/2024,0.43,1.72
1149,BlackRock Floating Rate Income Trust,BGT,11/15/2024,11/29/2024,0.12028,1.4434
1150,PennantPark Investment Corporation Common Stock,PNNT,11/15/2024,12/02/2024,0.08,0.96
1151,"Blackrock Capital and Income Fund, Inc.",CII,11/15/2024,11/29/2024,0.0995,1.194
1152,"Kayne Anderson Energy Infrastructure Fund, Inc.",KYN,11/15/2024,11/29/2024,0.08,0.96
1153,BlackRock Energy and Resources Trust,BGR,11/15/2024,11/29/2024,0.0754,0.9048
1154,"Pioneer Floating Rate Fund, Inc.",PHD,11/15/2024,12/02/2024,0.085,1.02
1155,"Cencora, Inc. Common Stock",COR,11/15/2024,11/29/2024,0.55,2.2
1156,Blackrock Health Sciences Trust,BME,11/15/2024,11/29/2024,0.213,2.556
1157,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,BOE,11/15/2024,11/29/2024,0.063,0.756
1158,Western Alliance Bancorporation Common Stock (DE),WAL,11/15/2024,11/29/2024,0.38,1.52
1159,"CF Industries Holdings, Inc. Common Stock",CF,11/15/2024,11/29/2024,0.5,2.0
1160,Acco Brands Corporation Common Stock,ACCO,11/15/2024,12/11/2024,0.075,0.3
1161,Blackrock Enhanced Equity Dividend Trust,BDJ,11/15/2024,11/29/2024,0.0562,0.6744
1162,"Blackrock Enhanced Government Fund, Inc. Common Stock",EGF,11/15/2024,11/29/2024,0.041,0.492
1163,BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,BTA,11/15/2024,12/02/2024,0.0495,0.594
1164,NexPoint Diversified Real Estate Trust Common Stock,NXDT,11/15/2024,12/31/2024,0.15,0.6
1165,BlackRock Credit Allocation Income Trust,BTZ,11/15/2024,11/29/2024,0.0839,1.0068
1166,Blackrock Enhanced International Dividend Trust,BGY,11/15/2024,11/29/2024,0.0338,0.4056
1167,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,GOF,11/15/2024,11/29/2024,0.1821,2.1852
1168,MSCI Inc. Common Stock,MSCI,11/15/2024,11/29/2024,1.6,6.4
1169,"RiverNorth Managed Duration Municipal Income Fund, Inc. Common Stock",RMM,11/15/2024,11/29/2024,0.0916,1.0992
1170,"HCI Group, Inc. Common Stock",HCI,11/15/2024,12/20/2024,0.4,1.6
1171,Nuveen AMT-Free Municipal Value Fund,NUW,11/15/2024,12/02/2024,0.0465,0.558
1172,AGCO Corporation Common Stock,AGCO,11/15/2024,12/16/2024,0.29,1.16
1173,First Majestic Silver Corp. Ordinary Shares (Canada),AG,11/15/2024,11/29/2024,0.0048,0.0192
1174,Nuveen Mortgage and Income Fund,JLS,11/15/2024,12/02/2024,0.1535,1.842
1175,Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,NBB,11/15/2024,12/02/2024,0.0965,1.158
1176,"ARMOUR Residential REIT, Inc.",ARR,11/15/2024,11/27/2024,0.24,2.88
1177,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,BBN,11/15/2024,11/29/2024,0.0929,1.1148
1178,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,GBAB,11/15/2024,11/29/2024,0.12573,1.5088
1179,Booz Allen Hamilton Holding Corporation Common Stock,BAH,11/15/2024,12/04/2024,0.51,2.04
1180,"Summit Hotel Properties, Inc. Common Stock",INN,11/15/2024,11/29/2024,0.08,0.32
1181,BlackRock Resources Common Shares of Beneficial Interest,BCX,11/15/2024,11/29/2024,0.0518,0.6216
1182,PennantPark Floating Rate Capital Ltd. Common Stock,PFLT,11/15/2024,12/02/2024,0.1025,1.23
1183,"BlackRock Utility, Infrastructure & Power Opportunities Trust",BUI,11/15/2024,11/29/2024,0.121,1.452
1184,Matador Resources Company Common Stock,MTDR,11/15/2024,12/06/2024,0.25,1.0
1185,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,JRI,11/15/2024,12/02/2024,0.1335,1.602
1186,Nuveen Preferred Securities & Income Opportunities Fund Common Shares,JPI,11/15/2024,12/02/2024,0.166,1.992
1187,BlackRock Municipal 2030 Target Term Trust,BTT,11/15/2024,12/02/2024,0.0464,0.5568
1188,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,NXG,11/15/2024,11/29/2024,0.54,6.48
1189,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,BIT,11/15/2024,11/29/2024,0.1237,1.4844
1190,Artisan Partners Asset Management Inc. Class A Common Stock,APAM,11/15/2024,11/29/2024,0.82,3.28
1191,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",MHNC,11/15/2024,12/02/2024,0.484375,1.9375
1192,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,SHEL,11/15/2024,12/19/2024,0.688,2.752
1193,Nuveen Minnesota Quality Municipal Income Fund ,NMS,11/15/2024,12/02/2024,0.0735,0.882
1194,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,BST,11/15/2024,11/29/2024,0.25,3.0
1195,Nuveen Global High Income Fund Common Shares of Beneficial Interest,JGH,11/15/2024,12/02/2024,0.1035,1.242
1196,"Easterly Government Properties, Inc. Common Stock",DEA,11/15/2024,11/27/2024,0.265,1.06
1197,Great Ajax Corp. Common Stock,AJX,11/15/2024,11/29/2024,0.06,0.24
1198,Chemours Company (The) Common Stock,CC,11/15/2024,12/16/2024,0.25,1.0
1199,"RiverNorth Opportunities Fund, Inc. Common Stock",RIV,11/15/2024,11/29/2024,0.1289,1.5468
1200,RiverNorth Capital and Income Fund Common Stock,RSF,11/15/2024,11/29/2024,0.1398,1.6776
1201,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock",OPP,11/15/2024,11/29/2024,0.1003,1.2036
1202,"SandRidge Energy, Inc. Common Stock",SD,11/15/2024,11/29/2024,0.11,0.44
1203,"Arch Resources, Inc. Class A Common Stock",ARCH,11/15/2024,11/26/2024,0.25,1.0
1204,Hilton Worldwide Holdings Inc. Common Stock ,HLT,11/15/2024,12/27/2024,0.15,0.6
1205,XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,XFLT,11/15/2024,12/02/2024,0.085,1.02
1206,CONSOL Energy Inc. Common Stock ,CEIX,11/15/2024,11/26/2024,0.25,1.0
1207,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,DTW,11/15/2024,12/02/2024,0.328125,1.3125
1208,"Invesco High Income 2024 Target Term Fund Common Shares of Beneficial Interest, No par value per share",IHTA,11/15/2024,11/29/2024,0.02,0.24
1209,"Origin Bancorp, Inc. Common Stock",OBK,11/15/2024,11/29/2024,0.15,0.6
1210,"RiverNorth Opportunistic Municipal Income Fund, Inc. Common Stock",RMI,11/15/2024,11/29/2024,0.0965,1.158
1211,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,CMSD,11/15/2024,12/02/2024,0.3671875,1.4688
1212,Alta Equipment Group Inc. Class A Common Stock,ALTG,11/15/2024,11/29/2024,0.057,0.228
1213,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,FINS,11/15/2024,11/29/2024,0.109,1.308
1214,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,BSTZ,11/15/2024,11/29/2024,0.21549,2.5859
1215,Nuveen Municipal Credit Opportunities Fund Common Shares,NMCO,11/15/2024,12/02/2024,0.0685,0.822
1216,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,BMEZ,11/15/2024,11/29/2024,0.1769,2.1228
1217,"RiverNorth Flexible Municipal Income Fund, Inc. Common Stock",RFM,11/15/2024,11/29/2024,0.0954,1.1448
1218,Otis Worldwide Corporation Common Stock ,OTIS,11/15/2024,12/06/2024,0.39,1.56
1219,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",AFGD,11/15/2024,12/02/2024,0.3515625,1.4062
1220,Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest,NDMO,11/15/2024,12/02/2024,0.062,0.744
1221,"Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060",PFH,11/15/2024,12/02/2024,0.2578125,1.0312
1222,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,BCAT,11/15/2024,11/29/2024,0.28854,3.4625
1223,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",RFMZ,11/15/2024,11/29/2024,0.0866,1.0392
1224,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,BIGZ,11/15/2024,11/29/2024,0.08633,1.036
1225,Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest,NPCT,11/15/2024,12/02/2024,0.119,1.428
1226,Neuberger Berman Next Generation Connectivity Fund Inc. Common Stock,NBXG,11/15/2024,11/29/2024,0.1,1.2
1227,"Pioneer Municipal High Income Opportunities Fund, Inc. Common Stock",MIO,11/15/2024,11/29/2024,0.05,0.6
1228,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,ECAT,11/15/2024,11/29/2024,0.30503,3.6604
1229,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest,GUG,11/15/2024,11/29/2024,0.11875,1.425
1230,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,DTG,11/15/2024,12/02/2024,0.2734375,1.0938
1231,Nuveen Variable Rate Preferred & Income Fund Common Shares,NPFD,11/15/2024,12/02/2024,0.1675,2.01
1232,"RiverNorth Managed Duration Municipal Income Fund II, Inc. Common Stock",RMMZ,11/15/2024,11/29/2024,0.0974,1.1688
1233,Saratoga Investment Corp 6.00% Notes due 2027,SAT,11/15/2024,12/02/2024,0.375,1.5
1234,GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,11/15/2024,1/09/2025,0.389052,1.5562
1235,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,BMN,11/15/2024,12/02/2024,0.09375,1.125
1236,Saratoga Investment Corp 8.00% Notes due 2027,SAJ,11/15/2024,12/02/2024,0.5,2.0
1237,Saratoga Investment Corp 8.125% Notes due 2027,SAY,11/15/2024,12/02/2024,0.507813,2.0312
1238,"TXO Partners, L.P. Common Units Representing Limited Partner Interests",TXO,11/15/2024,11/22/2024,0.58,2.32
1239,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,ASBA,11/15/2024,12/02/2024,0.4141,1.6564
1240,Saratoga Investment Corp 8.50% Notes due 2028,SAZ,11/15/2024,12/02/2024,0.53125,2.125
1241,"Redwood Trust, Inc. 9.125% Senior Notes Due 2029",RWTN,11/15/2024,12/02/2024,0.570313,2.2813
1242,"Sound Point Meridian Capital, Inc. Common Stock",SPMC,11/15/2024,11/29/2024,0.22,2.64
1243,"Redwood Trust, Inc. 9.00% Senior Notes Due 2029",RWTO,11/15/2024,12/02/2024,0.5625,2.25
1244,Smurfit WestRock plc Ordinary Shares,SW,11/15/2024,12/18/2024,0.3025,1.21
1245,Pearl Diver Credit Company Inc. Common Stock,PDCC,11/15/2024,11/29/2024,0.22,2.64
1246,Citizens Bancshares Corp South Carolina,CITZ,11/15/2024,12/02/2024,0.42,0.42
1247,"Capital Properties, Inc. - Class A",CPTP,11/15/2024,11/25/2024,0.07,0.28
1248,Sturgis Bancorp Inc,STBI,11/15/2024,12/13/2024,0.17,0.68
1249,Oak Ridge Financial Services Inc,BKOR,11/15/2024,12/03/2024,0.12,0.48
1250,Juniata Valley Financial Corp.,JUVF,11/15/2024,11/29/2024,0.22,0.88
1251,Artesian Resources Corp. - Class B,ARTNB,11/15/2024,11/25/2024,0.3014,1.2056
1252,Popular Inc. 6.375% PRF PERPETUAL USD 25 - Ser 2003 Cls A,BPOPO,11/15/2024,12/02/2024,0.132813,1.5937
1253,Chester Bancorp Inc.,CNBA,11/15/2024,11/29/2024,0.15,0.6
1254,"Honat Bancorp, Inc.",HONT,11/15/2024,11/29/2024,0.71,2.84
1255,International Paper Co. PRF PERPETUAL USD 4,INPAP,11/15/2024,12/16/2024,1.0,4.0
1256,Klabin S.A. ADR,KLBAY,11/15/2024,12/02/2024,0.099462,0.6128
1257,Klabin S.A. ADR,KLBAY,11/15/2024,12/02/2024,0.12172,0.6128
1258,Security National Corp.,SNLC,11/15/2024,11/29/2024,6.0,2.0
1259,Tenaris S.A.,TNRSF,11/15/2024,11/20/2024,0.27,0.54
1260,Wal-mart de Mexico S A B de C V ADR,WMMVY,11/15/2024,11/22/2024,0.532859,0.5329
1261,Wal-mart de Mexico S A B de C V ADR,WMMVY,11/15/2024,11/22/2024,0.217584,0.5329
1262,Scope Industries,SCPJ,11/15/2024,12/17/2024,10.0,10.0
1263,INSCORP Inc,IBTN,11/15/2024,12/06/2024,0.1,0.4
1264,Bunzl plc ADR,BZLFY,11/15/2024,1/10/2025,0.2622447,0.5245
1265,Equinor ASA,STOHF,11/15/2024,11/29/2024,0.35,1.4
1266,Ledyard Financial Group Inc,LFGP,11/15/2024,12/06/2024,0.21,0.84
1267,Osaic Financial Services Inc. 8% PRF PERPETUAL USD 25 - Ser A,LTSAP,11/15/2024,11/29/2024,0.1667,2.0004
1268,Rubis ADR,RBSFY,11/15/2024,11/25/2024,0.163245,0.1632
1269,Rubis ADR,RBSFY,11/15/2024,11/25/2024,0.163245,0.1632
1270,Propel Media Inc,PROM,11/15/2024,11/22/2024,0.009978,0.0
1271,Propel Media Inc,PROM,11/15/2024,11/22/2024,0.009978,0.0
1272,Pershing Square Holdings Ltd,PSHZF,11/15/2024,12/13/2024,0.1456,0.5824
1273,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser L,EBBNF,11/15/2024,12/01/2024,0.36612,1.4645
1274,Aura Minerals Inc.,ORAAF,11/15/2024,12/02/2024,0.24,0.96
1275,China Hongqiao Group Limited ADR,CHHQY,11/15/2024,12/20/2024,0.631467,1.1057
1276,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser 5,EBGEF,11/15/2024,12/01/2024,0.41769,1.6708
1277,Pioneer Bankcorp Inc,PBKC,11/15/2024,12/02/2024,0.15,1.4
1278,Pioneer Bankcorp Inc,PBKC,11/15/2024,12/02/2024,0.55,1.4
1279,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser 1,EBBGF,11/15/2024,12/01/2024,0.41898,1.6759
1280,Morris St Bancshares Inc,MBLU,11/15/2024,12/15/2024,0.092,0.368
1281,JPMorgan USD Ultra-Short Income UCITS ETF - USD (Dist),JPUHF,11/15/2024,12/06/2024,0.5626,6.7512
1282,C&C Group ADR,CCGPY,11/15/2024,12/27/2024,0.064846,0.1297
1283,Amgen Inc. Common Stock,AMGN,11/18/2024,12/09/2024,2.25,9.0
1284,Clarus Corporation Common Stock,CLAR,11/18/2024,11/27/2024,0.025,0.1
1285,"Enact Holdings, Inc. Common Stock",ACT,11/18/2024,12/05/2024,0.185,0.74
1286,"First Hawaiian, Inc. Common Stock",FHB,11/18/2024,11/29/2024,0.26,1.04
1287,Gen Digital Inc. Common Stock,GEN,11/18/2024,12/11/2024,0.125,0.5
1288,Innospec Inc. Common Stock,IOSP,11/18/2024,11/26/2024,0.79,1.52
1289,"Papa John's International, Inc. Common Stock",PZZA,11/18/2024,11/29/2024,0.46,1.84
1290,Patria Investments Limited Class A Common Shares,PAX,11/18/2024,12/09/2024,0.15,0.6
1291,Runway Growth Finance Corp. Common Stock,RWAY,11/18/2024,12/02/2024,0.4,1.8
1292,"Spok Holdings, Inc. Common Stock",SPOK,11/18/2024,12/09/2024,0.3125,1.25
1293,The Carlyle Group Inc. Common Stock,CG,11/18/2024,11/25/2024,0.35,1.4
1294,Tiptree Inc. Common Stock,TIPT,11/18/2024,11/25/2024,0.06,0.24
1295,"Twin Disc, Incorporated Common Stock",TWIN,11/18/2024,12/02/2024,0.04,0.16
1296,"Walgreens Boots Alliance, Inc. Common Stock",WBA,11/18/2024,12/12/2024,0.25,1.0
1297,"Weyco Group, Inc. Common Stock",WEYS,11/18/2024,1/02/2025,2.26,1.04
1298,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",CIK,11/18/2024,11/22/2024,0.0225,0.27
1299,Credit Suisse High Yield Bond Fund Common Stock,DHY,11/18/2024,11/22/2024,0.0155,0.186
1300,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,FTF,11/18/2024,11/29/2024,0.0615,0.738
1301,Sachem Capital Corp. Common Shares,SACH,11/18/2024,11/26/2024,0.05,0.2
1302,Southern Company (The) Common Stock,SO,11/18/2024,12/06/2024,0.72,2.88
1303,The Hershey Company Common Stock,HSY,11/18/2024,12/16/2024,1.37,5.48
1304,Black Hills Corporation Common Stock,BKH,11/18/2024,12/01/2024,0.65,2.6
1305,Pitney Bowes Inc. Common Stock,PBI,11/18/2024,12/06/2024,0.05,0.2
1306,Jefferies Financial Group Inc. Common Stock,JEF,11/18/2024,11/27/2024,0.35,1.4
1307,Murphy Oil Corporation Common Stock,MUR,11/18/2024,12/02/2024,0.3,1.2
1308,"Rockwell Automation, Inc. Common Stock",ROK,11/18/2024,12/10/2024,1.31,5.24
1309,"L3Harris Technologies, Inc. Common Stock",LHX,11/18/2024,12/06/2024,1.16,4.64
1310,Pan American Silver Corp. Common Stock,PAAS,11/18/2024,11/29/2024,0.1,0.4
1311,Chevron Corporation Common Stock,CVX,11/18/2024,12/10/2024,1.63,6.52
1312,"Highwoods Properties, Inc. Common Stock",HIW,11/18/2024,12/10/2024,0.5,2.0
1313,"Ryder System, Inc. Common Stock",R,11/18/2024,12/20/2024,0.81,3.24
1314,"United Parcel Service, Inc. Common Stock",UPS,11/18/2024,12/05/2024,1.63,6.52
1315,Bunge Limited Common Shares,BG,11/18/2024,12/02/2024,0.68,2.72
1316,"Helmerich & Payne, Inc. Common Stock",HP,11/18/2024,12/02/2024,0.25,1.0
1317,Franklin Universal Trust Common Stock,FT,11/18/2024,11/29/2024,0.0425,0.51
1318,CNA Financial Corporation Common Stock,CNA,11/18/2024,12/05/2024,0.44,1.76
1319,"General American Investors, Inc. Common Stock",GAM,11/18/2024,12/27/2024,4.5,4.5
1320,HNI Corporation Common Stock,HNI,11/18/2024,12/02/2024,0.33,1.32
1321,"Templeton Emerging Markets Income Fund, Inc. Common Stock",TEI,11/18/2024,11/29/2024,0.0475,0.57
1322,"Quad Graphics, Inc Class A Common Stock",QUAD,11/18/2024,12/06/2024,0.05,0.2
1323,Cohen & Steers Inc Common Stock,CNS,11/18/2024,12/02/2024,0.59,2.36
1324,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",TX,11/18/2024,11/26/2024,0.9,1.8
1325,Sprott Inc. Common Shares,SII,11/18/2024,12/03/2024,0.3,1.2
1326,Ubiquiti Inc. Common Stock,UI,11/18/2024,11/25/2024,0.6,2.4
1327,"Allison Transmission Holdings, Inc. Common Stock",ALSN,11/18/2024,11/27/2024,0.25,1.0
